연도,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월
1961,277,268,275,268,268,259,268,265,265,272,287,306
1962,316,312,314,312,311,314,285,300,313,336,333,343
1963,311,298,289,328,337,346,341,342,337,333,353,393
1964,370,382,385,399,392,432,421,432,430,466,485,492
1965,473,453,462,472,482,508,489,503,527,563,587,602
1966,589,571,582,569,577,595,576,588,623,646,674,696
1967,675,683,675,695,694,678,698,736,744,759,778,773
1968,780,770,758,826,804,797,882,913,982,1050,1080,1054
1969,1058,1053,1088,1070,1059,1084,1134,1158,1216,1268,1322,1340
1970,1307,1306,1324,1312,1329,1305,1330,1397,1412,1460,1519,1555
1971,1504,1508,1517,1547,1557,1586,1558,1625,1685,1724,1755,1777
1972,1702,1704,1709,1720,1716,1725,1771,1773,1880,1979,2088,2097
1973,2099,2081,2103,2102,2111,2177,2229,2363,2370,2495,2556,2520
1974,2532,2474,2451,2403,2380,2441,2448,2531,2619,2714,2843,2922
1975,2911,2889,2824,2813,2779,2827,2884,3102,3109,3210,3290,3351
1976,3420,3290,3325,3221,3200,3302,3451,3417,3475,3690,3807,3799
1977,3844,3832,3716,3672,3687,3884,3922,4055,4028,4100,4180,4187
1978,4201,4194,4146,4152,4316,4350,4650,4861,4693,4807,5036,5118
1979,5132,5064,5082,4945,4892,4864,5076,5168,5062,5203,5333,5353
1980,5274,5002,4925,4845,4933,5229,5211,5368,5155,5236,5457,5443
1981,5312,5208,5336,5304,5460,5581,6144,5929,5693,5667,5875,5863
1982,5707,5528,5510,5548,5686,6054,6513,6661,6032,6135,6351,6489
1983,6262,6257,6131,6284,6402,6899,7199,7602,7267,6903,7200,7186
1984,7043,6907,7085,6950,7059,7582,8086,8811,7549,7450,7817,7804
1985,7581,7473,7505,7417,7598,8011,8954,9349,8549,8207,8379,8392
1986,8211,8282,8393,8116,8565,8941,9664,9915,9321,9312,9429,9437
1987,9488,9237,9311,9363,9739,10644,11039,10468,10188,10518,10838,10952
1988,10823,10879,10792,10628,11107,12136,12777,13658,12550,12092,12201,12412
1989,12379,12253,12034,11871,12447,13611,14822,15058,14061,13759,14007,14054
1990,14541,13997,13856,13740,14044,14873,16912,17252,15997,15519,15806,16054
1991,16255,15876,15605,15241,15704,17328,17974,19124,17858,16876,17686,18036
1992,17676,17549,17465,17257,17251,18118,20438,19726,19782,18438,19378,19389
1993,19538,19467,19007,18989,19319,20403,20966,21703,21336,20810,21800,22112
1994,22102,21771,21520,20867,21598,23621,26696,26167,25828,23153,24124,24669
1995,24731,24204,23923,23736,23687,25970,28292,29878,27438,25739,26941,27398
1996,27593,27518,26747,26567,27401,28431,31871,32282,29350,28393,29678,30063
1997,30428,30366,29289,29064,28909,33303,35231,35851,35655,31462,31707,32105
1998,29815,28755,28038,27615,28352,30899,31899,31629,32996,29718,30745,31139
1999,31241,30812,29961,30096,29850,34006,36577,37293,36338,33061,34034,35562
2000,35140,35097,34417,32994,34818,38230,40784,41007,38397,35406,37430,38727
2001,40120,39482,39672,38366,36605,38383,43125,42391,40192,37365,39362,40600
2002,41071,40102,40150,38590,38236,41310,44306,45773,44524,41355,42959,44704
2003,45062,43574,42699,40882,40679,42037,43027,47385,44880,42467,43822,46134
2004,46273,46387,45460,43489,42367,45937,51264,51184,46594,44272,46241,48549
2005,49683,49990,49092,45265,44421,50603,53712,54631,52752,46267,49982,54451
2006,54212,53397,51722,48484,46264,51941,55263,58994,51744,49033,52071,55508
2007,55066,55402,54396,50750,49166,55800,57913,62285,57220,51878,57121,58472
2008,60947,60742,56791,52796,52633,55504,62794,62511,58510,53232,57842,58636
2009,62645,59849,58047,54063,53197,60129,60801,63212,60624,55103,62315,66797
2010,68963,67158,63520,58766,55244,62828,67619,69886,68842,60330,64984,71308
2011,73137,71002,67320,61400,59355,66872,71393,72194,71061,62575,67554,72554
2012,72865,73833,69180,64390,61029,67390,72913,74291,67693,61622,69062,75987
2013,76522,74196,69653,64872,63029,68472,72112,74015,67689,64911,72686,75681
